ZAMAN,KAYNAK,ANA_0_DURUM,ANA_1_IRT,ANA_2_HIZ,ANA_3_SIC,ANA_4,ANA_5_EN,ANA_6_BOY,ANA_7_PITCH,ANA_8_ROLL,ANA_9_YAW,ANA_10_BASMS,ANA_11_BASBMP,ANA_12_BASTOP,ANA_13,ANA_14,ANA_15,ANA_16,ANA_17,ANA_18,ANA_19,ANA_20_IVMEX,ANA_21_IVMEY,ANA_22_IVMEZ,ANA_23,ANA_24,ANA_25,ANA_26,GOREV_0_FILTREX,GOREV_1_FILTREY,GOREV_2_FILTREZ,GOREV_3_HAM_IVMEX,GOREV_4_HAM_IVMEY,GOREV_5_HAM_IVMEZ,GOREV_6_ENLEM,GOREV_7_BOYLAM,GOREV_8,GOREV_9
"01:18:43.664","GOREV","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-0.033669","-0.1586371","-1.026363","0","0","0","0","0","0","0"
"01:18:43.865","GOREV","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-0.03166963","-0.1587516","-1.02661","0","0","0","0","0","0","0"
"01:18:44.063","GOREV","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-0.03192148","-0.1599011","-1.025473","0","0","0","0","0","0","0"
"01:18:44.263","GOREV","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-0.03367387","-0.1591","-1.027526","0","0","0","0","0","0","0"
"01:18:44.463","GOREV","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-0.03287944","-0.159226","-1.026925","0","0","0","0","0","0","0"
"01:18:44.662","GOREV","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-0.03236901","-0.1592172","-1.027219","0","0","0","0","0","0","0"
"01:18:44.862","GOREV","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-0.03261679","-0.1623953","-1.023627","0","0","0","0","0","0","0"
"01:18:45.062","GOREV","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-0.03235448","-0.1590336","-1.023733","0","0","0","0","0","0","0"
"01:18:45.268","GOREV","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-0.03407425","-0.1603831","-1.024684","0","0","0","0","0","0","0"
"01:18:45.467","GOREV","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-0.03339693","-0.1587977","-1.027122","0","0","0","0","0","0","0"
"01:18:45.667","GOREV","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-0.03160829","-0.1600983","-1.02753","0","0","0","0","0","0","0"
"01:18:45.866","GOREV","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-0.0341865","-0.1601453","-1.024184","0","0","0","0","0","0","0"
"01:18:46.066","GOREV","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-0.0318881","-0.1577167","-1.023532","0","0","0","0","0","0","0"
"01:18:46.266","GOREV","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-0.03332195","-0.1612467","-1.026418","0","0","0","0","0","0","0"
"01:18:46.466","GOREV","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-0.03441262","-0.1586565","-1.022214","0","0","0","0","0","0","0"
"01:18:46.665","GOREV","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-0.03398641","-0.1605785","-1.024924","0","0","0","0","0","0","0"
"01:18:46.865","GOREV","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-0.03346994","-0.1601278","-1.024874","0","0","0","0","0","0","0"
"01:18:47.064","GOREV","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-0.03429325","-0.1603824","-1.028471","0","0","0","0","0","0","0"
"01:18:47.262","GOREV","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-0.03135623","-0.161059","-1.027878","0","0","0","0","0","0","0"
"01:18:47.462","GOREV","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-0.0320595","-0.1583101","-1.025463","0","0","0","0","0","0","0"
"01:18:47.662","GOREV","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-0.03393959","-0.1593772","-1.026155","0","0","0","0","0","0","0"
"01:18:47.861","GOREV","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-0.0322338","-0.1583931","-1.024161","0","0","0","0","0","0","0"
"01:18:48.061","GOREV","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-0.03335256","-0.1556193","-1.023664","0","0","0","0","0","0","0"
"01:18:48.309","GOREV","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-0.03243227","-0.1577834","-1.024562","0","0","0","0","0","0","0"
"01:18:48.509","GOREV","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-0.03402348","-0.160914","-1.025679","0","0","0","0","0","0","0"
"01:18:48.708","GOREV","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-0.03370768","-0.1609788","-1.024552","0","0","0","0","0","0","0"
"01:18:48.909","GOREV","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-0.03322712","-0.1596922","-1.024229","0","0","0","0","0","0","0"
"01:18:49.108","GOREV","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-0.03291659","-0.1582392","-1.025148","0","0","0","0","0","0","0"
"01:18:49.307","GOREV","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-0.03492204","-0.1567854","-1.024571","0","0","0","0","0","0","0"
"01:18:49.506","GOREV","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-0.03360402","-0.1614335","-1.02715","0","0","0","0","0","0","0"
"01:18:49.706","GOREV","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-0.03321827","-0.1610406","-1.023181","0","0","0","0","0","0","0"
"01:18:49.906","GOREV","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-0.033574","-0.1592468","-1.02305","0","0","0","0","0","0","0"
"01:18:50.106","GOREV","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-0.03259107","-0.160729","-1.024299","0","0","0","0","0","0","0"
"01:18:50.305","GOREV","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-0.03361483","-0.158127","-1.025237","0","0","0","0","0","0","0"
"01:18:50.504","GOREV","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-0.03458119","-0.1609052","-1.024383","0","0","0","0","0","0","0"
"01:18:50.704","GOREV","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-0.03164947","-0.1591468","-1.024665","0","0","0","0","0","0","0"
"01:18:50.903","GOREV","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-0.03563345","-0.1593584","-1.024158","0","0","0","0","0","0","0"
"01:18:51.103","GOREV","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-0.01964227","-0.1549547","-1.023956","0","0","0","0","0","0","0"
