ZAMAN,KAYNAK,ANA_0_DURUM,ANA_1_IRT,ANA_2_HIZ,ANA_3_SIC,ANA_4_NEM,ANA_5_EN,ANA_6_BOY,ANA_7_PITCH,ANA_8_ROLL,ANA_9_YAW,ANA_10_BASMS,ANA_11_BASBMP,ANA_12_BASTOP,ANA_13,ANA_14,ANA_15,ANA_16,ANA_17,ANA_18,ANA_19,ANA_20_IVMEX,ANA_21_IVMEY,ANA_22_IVMEZ,ANA_23,ANA_24,ANA_25,ANA_26,GOREV_0_DURUM,GOREV_1_EN,GOREV_2_BOY,GOREV_3_IVMEX,GOREV_4_IVMEY,GOREV_5_IVMEZ,GOREV_6_FILTREX,GOREV_7_FILTREY,GOREV_8_FILTREZ
"06:32:11.662","GOREV","","","","","","","","","","","","","","","","","","","","","","","","","","","","26.33","18.68","-86.51","14.67","11.96","-33.48","0.000000","0.000000","",""
"06:32:11.856","GOREV","","","","","","","","","","","","","","","","","","","","","","","","","","","","26.32","18.68","-86.60","14.67","11.74","-33.52","0.000000","0.000000","",""
"06:32:11.998","GOREV","","","","","","","","","","","","","","","","","","","","","","","","","","","","26.31","18.68","-86.68","14.73","11.88","-33.55","0.000000","0.000000","",""
"06:32:12.161","GOREV","","","","","","","","","","","","","","","","","","","","","","","","","","","","26.30","18.66","-86.76","14.70","11.78","-33.59","0.000000","0.000000","",""
"06:32:12.360","GOREV","","","","","","","","","","","","","","","","","","","","","","","","","","","","26.32","18.66","-86.85","14.74","11.85","-33.63","0.000000","0.000000","",""
"06:32:12.497","GOREV","","","","","","","","","","","","","","","","","","","","","","","","","","","","26.30","18.67","-86.93","14.63","11.91","-33.66","0.000000","0.000000","",""
"06:32:12.686","GOREV","","","","","","","","","","","","","","","","","","","","","","","","","","","","26.31","18.66","-87.02","14.58","11.82","-33.70","0.000000","0.000000","",""
"06:32:12.832","GOREV","","","","","","","","","","","","","","","","","","","","","","","","","","","","26.33","18.66","-87.10","14.76","12.06","-33.74","0.000000","0.000000","",""
"06:32:13.009","GOREV","","","","","","","","","","","","","","","","","","","","","","","","","","","","26.33","18.66","-87.19","14.61","11.90","-33.77","0.000000","0.000000","",""
"06:32:13.163","GOREV","","","","","","","","","","","","","","","","","","","","","","","","","","","","26.31","18.67","-87.27","14.73","11.97","-33.81","0.000000","0.000000","",""
"06:32:13.334","GOREV","","","","","","","","","","","","","","","","","","","","","","","","","","","","26.31","18.67","-87.36","14.68","11.86","-33.85","0.000000","0.000000","",""
"06:32:13.499","GOREV","","","","","","","","","","","","","","","","","","","","","","","","","","","","26.33","18.67","-87.45","14.90","11.73","-33.88","0.000000","0.000000","",""
"06:32:13.665","GOREV","","","","","","","","","","","","","","","","","","","","","","","","","","","","26.33","18.70","-87.53","14.60","11.86","-33.92","0.000000","0.000000","",""
"06:32:13.835","GOREV","","","","","","","","","","","","","","","","","","","","","","","","","","","","26.33","18.68","-87.61","14.54","12.00","-33.95","0.000000","0.000000","",""
"06:32:14.001","GOREV","","","","","","","","","","","","","","","","","","","","","","","","","","","","26.37","18.71","-87.70","14.68","11.89","-33.99","0.000000","0.000000","",""
"06:32:14.168","GOREV","","","","","","","","","","","","","","","","","","","","","","","","","","","","26.33","18.69","-87.78","14.64","11.75","-34.02","0.000000","0.000000","",""
"06:32:14.375","GOREV","","","","","","","","","","","","","","","","","","","","","","","","","","","","26.32","18.66","-87.87","14.51","11.79","-34.06","0.000000","0.000000","",""
"06:32:14.500","GOREV","","","","","","","","","","","","","","","","","","","","","","","","","","","","26.33","18.68","-87.96","14.87","12.00","-34.09","0.000000","0.000000","",""
"06:32:14.666","GOREV","","","","","","","","","","","","","","","","","","","","","","","","","","","","26.34","18.66","-88.04","14.53","12.04","-34.13","0.000000","0.000000","",""
"06:32:14.843","GOREV","","","","","","","","","","","","","","","","","","","","","","","","","","","","26.33","18.68","-88.13","14.65","11.84","-34.17","0.000000","0.000000","",""
"06:32:15.000","GOREV","","","","","","","","","","","","","","","","","","","","","","","","","","","","26.33","18.70","-88.21","14.62","11.99","-34.21","0.000000","0.000000","",""
"06:32:15.167","GOREV","","","","","","","","","","","","","","","","","","","","","","","","","","","","26.33","18.69","-88.30","14.74","11.74","-34.24","0.000000","0.000000","",""
"06:32:15.334","GOREV","","","","","","","","","","","","","","","","","","","","","","","","","","","","26.34","18.67","-88.39","14.75","11.89","-34.28","0.000000","0.000000","",""
"06:32:15.500","GOREV","","","","","","","","","","","","","","","","","","","","","","","","","","","","26.32","18.67","-88.47","14.72","11.88","-34.32","0.000000","0.000000","",""
"06:32:15.668","GOREV","","","","","","","","","","","","","","","","","","","","","","","","","","","","26.34","18.68","-88.56","14.78","11.92","-34.36","0.000000","0.000000","",""
"06:32:15.836","GOREV","","","","","","","","","","","","","","","","","","","","","","","","","","","","26.34","18.68","-88.65","14.53","11.77","-34.39","0.000000","0.000000","",""
"06:32:16.002","GOREV","","","","","","","","","","","","","","","","","","","","","","","","","","","","26.32","18.65","-88.73","14.72","11.92","-34.43","0.000000","0.000000","",""
"06:32:16.171","GOREV","","","","","","","","","","","","","","","","","","","","","","","","","","","","26.32","18.65","-88.82","14.71","11.82","-34.46","0.000000","0.000000","",""
"06:32:16.337","GOREV","","","","","","","","","","","","","","","","","","","","","","","","","","","","26.32","18.68","-88.91","14.80","11.86","-34.50","0.000000","0.000000","",""
"06:32:16.503","GOREV","","","","","","","","","","","","","","","","","","","","","","","","","","","","26.33","18.69","-88.99","14.60","11.91","-34.54","0.000000","0.000000","",""
"06:32:16.674","GOREV","","","","","","","","","","","","","","","","","","","","","","","","","","","","26.33","18.70","-89.08","14.64","11.81","-34.58","0.000000","0.000000","",""
"06:32:16.836","GOREV","","","","","","","","","","","","","","","","","","","","","","","","","","","","26.32","18.68","-89.17","14.56","12.02","-34.61","0.000000","0.000000","",""
"06:32:17.030","GOREV","","","","","","","","","","","","","","","","","","","","","","","","","","","","26.32","18.68","-89.25","14.73","11.89","-34.65","0.000000","0.000000","",""
"06:32:17.170","GOREV","","","","","","","","","","","","","","","","","","","","","","","","","","","","26.32","18.69","-89.33","14.75","11.81","-34.69","0.000000","0.000000","",""
"06:32:17.338","GOREV","","","","","","","","","","","","","","","","","","","","","","","","","","","","26.31","18.69","-89.42","14.88","11.99","-34.72","0.000000","0.000000","",""
"06:32:17.504","GOREV","","","","","","","","","","","","","","","","","","","","","","","","","","","","26.33","18.68","-89.51","14.66","11.87","-34.76","0.000000","0.000000","",""
"06:32:17.671","GOREV","","","","","","","","","","","","","","","","","","","","","","","","","","","","26.33","18.65","-89.59","14.61","11.98","-34.79","0.000000","0.000000","",""
"06:32:17.839","GOREV","","","","","","","","","","","","","","","","","","","","","","","","","","","","26.32","18.67","-89.68","14.70","11.93","-34.83","0.000000","0.000000","",""
"06:32:18.037","GOREV","","","","","","","","","","","","","","","","","","","","","","","","","","","","26.33","18.67","-89.77","14.70","11.96","-34.86","0.000000","0.000000","",""
"06:32:18.177","GOREV","","","","","","","","","","","","","","","","","","","","","","","","","","","","26.31","18.67","-89.85","14.59","11.94","-34.90","0.000000","0.000000","",""
"06:32:18.340","GOREV","","","","","","","","","","","","","","","","","","","","","","","","","","","","26.34","18.67","-89.94","14.72","11.70","-34.94","0.000000","0.000000","",""
"06:32:18.506","GOREV","","","","","","","","","","","","","","","","","","","","","","","","","","","","26.32","18.67","-90.03","14.60","11.80","-34.97","0.000000","0.000000","",""
"06:32:18.673","GOREV","","","","","","","","","","","","","","","","","","","","","","","","","","","","26.33","18.68","-90.11","14.60","11.76","-35.01","0.000000","0.000000","",""
"06:32:18.840","GOREV","","","","","","","","","","","","","","","","","","","","","","","","","","","","26.33","18.69","-90.20","14.71","11.94","-35.05","0.000000","0.000000","",""
"06:32:19.006","GOREV","","","","","","","","","","","","","","","","","","","","","","","","","","","","26.32","18.70","-90.29","14.76","11.82","-35.08","0.000000","0.000000","",""
"06:32:19.194","GOREV","","","","","","","","","","","","","","","","","","","","","","","","","","","","26.34","18.67","-90.37","14.73","11.79","-35.12","0.000000","0.000000","",""
"06:32:19.341","GOREV","","","","","","","","","","","","","","","","","","","","","","","","","","","","26.33","18.67","-90.46","14.61","11.90","-35.16","0.000000","0.000000","",""
"06:32:19.508","GOREV","","","","","","","","","","","","","","","","","","","","","","","","","","","","26.35","18.69","-90.54","14.73","11.64","-35.20","0.000000","0.000000","",""
"06:32:19.678","GOREV","","","","","","","","","","","","","","","","","","","","","","","","","","","","26.34","18.68","-90.63","14.70","11.99","-35.24","0.000000","0.000000","",""
"06:32:19.852","GOREV","","","","","","","","","","","","","","","","","","","","","","","","","","","","26.34","18.68","-90.71","14.77","11.85","-35.27","0.000000","0.000000","",""
